,channelGrouping,date,fullVisitorId,sessionId,socialEngagementType,visitId,visitNumber,visitStartTime,device.browser,device.browserVersion,device.browserSize,device.operatingSystem,device.operatingSystemVersion,device.isMobile,device.mobileDeviceBranding,device.mobileDeviceModel,device.mobileInputSelector,device.mobileDeviceInfo,device.mobileDeviceMarketingName,device.flashVersion,device.language,device.screenColors,device.screenResolution,device.deviceCategory,geoNetwork.continent,geoNetwork.subContinent,geoNetwork.country,geoNetwork.region,geoNetwork.metro,geoNetwork.city,geoNetwork.cityId,geoNetwork.networkDomain,geoNetwork.latitude,geoNetwork.longitude,geoNetwork.networkLocation,totals.visits,totals.hits,totals.pageviews,totals.newVisits,totals.bounces,totals.transactionRevenue,trafficSource.campaign,trafficSource.source,trafficSource.medium,trafficSource.keyword,trafficSource.adwordsClickInfo.criteriaParameters,trafficSource.referralPath,trafficSource.isTrueDirect,trafficSource.adwordsClickInfo.page,trafficSource.adwordsClickInfo.slot,trafficSource.adwordsClickInfo.gclId,trafficSource.adwordsClickInfo.adNetworkType,trafficSource.adwordsClickInfo.isVideoAd,trafficSource.adContent
10,Organic Search,20170203,2556326906435713101,2556326906435713101_1486150299,Not Socially Engaged,1486150299,1,1486150299,Chrome,not available in demo dataset,not available in demo dataset,Android,not available in demo dataset,True,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,mobile,Americas,Northern America,United States,Massachusetts,Boston MA-Manchester NH,Boston,not available in demo dataset,(not set),not available in demo dataset,not available in demo dataset,not available in demo dataset,1,9,7,1,,,(not set),google,organic,(not provided),not available in demo dataset,,,,,,,,
11,Social,20160811,7720389538173222532,7720389538173222532_1470977315,Not Socially Engaged,1470977315,1,1470977315,Chrome,not available in demo dataset,not available in demo dataset,Chrome OS,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,Americas,Northern America,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,optonline.net,not available in demo dataset,not available in demo dataset,not available in demo dataset,1,27,17,1,,,(not set),youtube.com,referral,,not available in demo dataset,/yt/about/,,,,,,,
12,Organic Search,20160811,6837748114500171233,6837748114500171233_1470945499,Not Socially Engaged,1470945499,3,1470945499,Chrome,not available in demo dataset,not available in demo dataset,Chrome OS,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,Americas,Northern America,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,unknown.unknown,not available in demo dataset,not available in demo dataset,not available in demo dataset,1,1,1,,1,,(not set),google,organic,(not provided),not available in demo dataset,,True,,,,,,
13,Organic Search,20160811,1176457873346994471,1176457873346994471_1470980749,Not Socially Engaged,1470980749,1,1470980749,Chrome,not available in demo dataset,not available in demo dataset,Windows,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,Asia,Southern Asia,India,Telangana,(not set),Hyderabad,not available in demo dataset,ernet.in,not available in demo dataset,not available in demo dataset,not available in demo dataset,1,1,1,1,1,,(not set),google,organic,(not provided),not available in demo dataset,,,,,,,,
14,Organic Search,20170113,562077773291491359,562077773291491359_1484328816,Not Socially Engaged,1484328816,1,1484328816,Safari,not available in demo dataset,not available in demo dataset,iOS,not available in demo dataset,True,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,tablet,Europe,Eastern Europe,Russia,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,sibset.net,not available in demo dataset,not available in demo dataset,not available in demo dataset,1,2,2,1,,,(not set),google,organic,(not provided),not available in demo dataset,,,,,,,,
15,Organic Search,20170113,3405174458912691008,3405174458912691008_1484321357,Not Socially Engaged,1484321357,1,1484321357,Chrome,not available in demo dataset,not available in demo dataset,Macintosh,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,Europe,Eastern Europe,Ukraine,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,freenet.com.ua,not available in demo dataset,not available in demo dataset,not available in demo dataset,1,3,3,1,,,(not set),google,organic,(not provided),not available in demo dataset,,,,,,,,
16,Social,20161118,2372809609565414514,2372809609565414514_1479496842,Not Socially Engaged,1479496842,1,1479496842,Safari,not available in demo dataset,not available in demo dataset,Macintosh,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,Asia,Southeast Asia,Vietnam,Ho Chi Minh,(not set),Ho Chi Minh City,not available in demo dataset,(not set),not available in demo dataset,not available in demo dataset,not available in demo dataset,1,1,1,1,1,,(not set),youtube.com,referral,,not available in demo dataset,/yt/about/vi/,,,,,,,
17,Social,20161118,6885479503076028294,6885479503076028294_1479494588,Not Socially Engaged,1479494588,4,1479494588,Chrome,not available in demo dataset,not available in demo dataset,Windows,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,Asia,Western Asia,Turkey,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,ttnet.com.tr,not available in demo dataset,not available in demo dataset,not available in demo dataset,1,2,2,,,,(not set),youtube.com,referral,,not available in demo dataset,/yt/about/tr/,True,,,,,,
18,Social,20161118,5978183974867561058,5978183974867561058_1479535257,Not Socially Engaged,1479535257,1,1479535257,Chrome,not available in demo dataset,not available in demo dataset,Android,not available in demo dataset,True,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,mobile,Asia,Southern Asia,India,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,unknown.unknown,not available in demo dataset,not available in demo dataset,not available in demo dataset,1,2,2,1,,,(not set),youtube.com,referral,,not available in demo dataset,/yt/about/,,,,,,,
19,Referral,20161110,0436141361480108416,0436141361480108416_1478833540,Not Socially Engaged,1478833540,4,1478833540,Chrome,not available in demo dataset,not available in demo dataset,Macintosh,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,Americas,Northern America,United States,New York,New York NY,New York,not available in demo dataset,myvzw.com,not available in demo dataset,not available in demo dataset,not available in demo dataset,1,18,14,,,,(not set),mall.googleplex.com,referral,,not available in demo dataset,/,True,,,,,,
20,Social,20161110,4590450569133911770,4590450569133911770_1478778421,Not Socially Engaged,1478778421,1,1478778421,Safari,not available in demo dataset,not available in demo dataset,Macintosh,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,Africa,Northern Africa,Tunisia,(not set),(not set),Tunis,not available in demo dataset,unknown.unknown,not available in demo dataset,not available in demo dataset,not available in demo dataset,1,1,1,1,1,,(not set),youtube.com,referral,,not available in demo dataset,/yt/about/fr/,,,,,,,
21,Direct,20161112,5245891205207604055,5245891205207604055_1478957369,Not Socially Engaged,1478957369,1,1478957369,Chrome,not available in demo dataset,not available in demo dataset,Android,not available in demo dataset,True,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,mobile,Europe,Eastern Europe,Romania,Bucharest,(not set),Bucharest,not available in demo dataset,rdsnet.ro,not available in demo dataset,not available in demo dataset,not available in demo dataset,1,1,1,1,1,,(not set),(direct),(none),,not available in demo dataset,,True,,,,,,
22,Paid Search,20161112,4628999309358233365,4628999309358233365_1479004816,Not Socially Engaged,1479004816,1,1479004816,Chrome,not available in demo dataset,not available in demo dataset,Macintosh,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,Americas,Northern America,United States,New York,New York NY,New York,not available in demo dataset,verizon.net,not available in demo dataset,not available in demo dataset,not available in demo dataset,1,1,1,1,1,,AW - Dynamic Search Ads Whole Site,google,cpc,6qEhsCssdK0z36ri,not available in demo dataset,,,1,Top,CjwKEAiAmJvBBRDKpP724LigwngSJAAYRJXBmONrhGSRocPCQorLnhpShqKGsAxpom4fhnhBDEkcORoCfAzw_wcB,Google Search,False,
23,Social,20161112,2146831886044327344,2146831886044327344_1478954559,Not Socially Engaged,1478954559,1,1478954559,Safari,not available in demo dataset,not available in demo dataset,Macintosh,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,Asia,Southeast Asia,Vietnam,Can Tho,(not set),Can Tho,not available in demo dataset,unknown.unknown,not available in demo dataset,not available in demo dataset,not available in demo dataset,1,2,2,1,,,(not set),youtube.com,referral,,not available in demo dataset,/yt/about/vi/,,,,,,,
24,Social,20161112,0747516131467852780,0747516131467852780_1478972327,Not Socially Engaged,1478972327,1,1478972327,Safari,not available in demo dataset,not available in demo dataset,Macintosh,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,Europe,Southern Europe,Greece,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,cyta.gr,not available in demo dataset,not available in demo dataset,not available in demo dataset,1,2,2,1,,,(not set),youtube.com,referral,,not available in demo dataset,/yt/about/,,,,,,,
25,Organic Search,20170621,7499522496079617951,7499522496079617951_1498100681,Not Socially Engaged,1498100681,1,1498100681,Chrome,not available in demo dataset,not available in demo dataset,Android,not available in demo dataset,True,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,mobile,Americas,Northern America,United States,Texas,Houston TX,Houston,not available in demo dataset,(not set),not available in demo dataset,not available in demo dataset,not available in demo dataset,1,1,1,1,1,,(not set),google,organic,(not provided),not available in demo dataset,,,,,,,,
26,Direct,20161123,9067981393396566575,9067981393396566575_1479921148,Not Socially Engaged,1479921148,1,1479921148,Chrome,not available in demo dataset,not available in demo dataset,Windows,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,Europe,Eastern Europe,Ukraine,Kyiv city,(not set),Kiev,not available in demo dataset,lan.ua,not available in demo dataset,not available in demo dataset,not available in demo dataset,1,2,2,1,,,(not set),(direct),(none),,not available in demo dataset,,True,,,,,,
27,Referral,20161123,3478410003336407545,3478410003336407545_1479970068,Not Socially Engaged,1479970068,1,1479970068,Chrome,not available in demo dataset,not available in demo dataset,Windows,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,Asia,Southeast Asia,Malaysia,Federal Territory of Kuala Lumpur,(not set),Kuala Lumpur,not available in demo dataset,time.net.my,not available in demo dataset,not available in demo dataset,not available in demo dataset,1,3,3,1,,,(not set),analytics.google.com,referral,,not available in demo dataset,/analytics/web/,,,,,,,
28,Organic Search,20161123,9992899215433641219,9992899215433641219_1479923771,Not Socially Engaged,1479923771,1,1479923771,Chrome,not available in demo dataset,not available in demo dataset,Android,not available in demo dataset,True,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,mobile,Americas,Northern America,United States,New York,New York NY,New York,not available in demo dataset,(not set),not available in demo dataset,not available in demo dataset,not available in demo dataset,1,5,4,1,,,(not set),google,organic,(not provided),not available in demo dataset,,,,,,,,
29,Paid Search,20161123,8383482005458166982,8383482005458166982_1479926052,Not Socially Engaged,1479926052,1,1479926052,Chrome,not available in demo dataset,not available in demo dataset,Macintosh,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,Americas,Northern America,United States,California,San Diego CA,San Diego,not available in demo dataset,(not set),not available in demo dataset,not available in demo dataset,not available in demo dataset,1,27,25,1,,,AW - Dynamic Search Ads Whole Site,google,cpc,6qEhsCssdK0z36ri,not available in demo dataset,,,1,Top,CPWvq5TCv9ACFYqKfgodY_AF3g,Google Search,False,
30,Social,20161123,7901217168818816425,7901217168818816425_1479931757,Not Socially Engaged,1479931757,1,1479931757,Safari,not available in demo dataset,not available in demo dataset,Macintosh,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,Europe,Eastern Europe,Poland,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,multifox.pl,not available in demo dataset,not available in demo dataset,not available in demo dataset,1,1,1,1,1,,(not set),youtube.com,referral,,not available in demo dataset,/yt/about/pl/,,,,,,,
31,Social,20161123,90825696731534486,90825696731534486_1479918062,Not Socially Engaged,1479918062,1,1479918062,Safari,not available in demo dataset,not available in demo dataset,Macintosh,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,Asia,Western Asia,Turkey,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,ttnet.com.tr,not available in demo dataset,not available in demo dataset,not available in demo dataset,1,2,2,1,,,(not set),youtube.com,referral,,not available in demo dataset,/yt/about/tr/,,,,,,,
32,Social,20161123,8663468904852809185,8663468904852809185_1479963988,Not Socially Engaged,1479963988,1,1479963988,Chrome,not available in demo dataset,not available in demo dataset,Windows,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,Asia,Southeast Asia,Vietnam,Haiphong,(not set),Hai Phong,not available in demo dataset,unknown.unknown,not available in demo dataset,not available in demo dataset,not available in demo dataset,1,2,2,1,,,(not set),youtube.com,referral,,not available in demo dataset,/yt/about/,,,,,,,
33,Organic Search,20170501,2563045758439317497,2563045758439317497_1493705425,Not Socially Engaged,1493705425,1,1493705425,Chrome,not available in demo dataset,not available in demo dataset,Windows,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,Americas,Northern America,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,verizon.net,not available in demo dataset,not available in demo dataset,not available in demo dataset,1,2,2,1,,,(not set),google,organic,(not provided),not available in demo dataset,,,,,,,,
34,Social,20170501,8981791862317762223,8981791862317762223_1493691594,Not Socially Engaged,1493691594,1,1493691594,Chrome,not available in demo dataset,not available in demo dataset,Windows,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,Americas,Northern America,United States,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,(not set),not available in demo dataset,not available in demo dataset,not available in demo dataset,1,5,5,1,,,(not set),youtube.com,referral,,not available in demo dataset,/yt/about/es/,,,,,,,
35,Organic Search,20161213,1228219492296421967,1228219492296421967_1481654968,Not Socially Engaged,1481654968,2,1481654968,Chrome,not available in demo dataset,not available in demo dataset,Chrome OS,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,Americas,Northern America,United States,California,Chico-Redding CA,Chico,not available in demo dataset,digitalpath.net,not available in demo dataset,not available in demo dataset,not available in demo dataset,1,3,3,,,,(not set),google,organic,(not provided),not available in demo dataset,,True,,,,,,
36,Referral,20161213,9357841752662063874,9357841752662063874_1481661084,Not Socially Engaged,1481661084,1,1481661084,Chrome,not available in demo dataset,not available in demo dataset,Linux,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,Americas,Northern America,United States,California,San Francisco-Oakland-San Jose CA,Mountain View,not available in demo dataset,(not set),not available in demo dataset,not available in demo dataset,not available in demo dataset,1,9,7,1,,,(not set),mall.googleplex.com,referral,,not available in demo dataset,/,,,,,,,
37,Organic Search,20170624,3016404136363973091,3016404136363973091_1498305147,Not Socially Engaged,1498305147,1,1498305147,Chrome,not available in demo dataset,not available in demo dataset,Android,not available in demo dataset,True,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,mobile,Asia,Western Asia,United Arab Emirates,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,unknown.unknown,not available in demo dataset,not available in demo dataset,not available in demo dataset,1,1,1,1,1,,(not set),google,organic,(not provided),not available in demo dataset,,,,,,,,
38,Referral,20161014,1485580653069194332,1485580653069194332_1476433716,Not Socially Engaged,1476433716,2,1476433716,Chrome,not available in demo dataset,not available in demo dataset,Macintosh,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,Asia,Southern Asia,India,Tamil Nadu,(not set),Erode,not available in demo dataset,in,not available in demo dataset,not available in demo dataset,not available in demo dataset,1,2,2,,,,(not set),analytics.google.com,referral,,not available in demo dataset,/analytics/web/,,,,,,,
39,Organic Search,20161014,9185854963376162381,9185854963376162381_1476489603,Not Socially Engaged,1476489603,2,1476489603,Chrome,not available in demo dataset,not available in demo dataset,Linux,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,Americas,Northern America,United States,California,San Francisco-Oakland-San Jose CA,Sunnyvale,not available in demo dataset,(not set),not available in demo dataset,not available in demo dataset,not available in demo dataset,1,1,1,,1,,(not set),google,organic,(not provided),not available in demo dataset,,,,,,,,
40,Social,20161014,0884232328893427092,0884232328893427092_1476466983,Not Socially Engaged,1476466983,1,1476466983,Chrome,not available in demo dataset,not available in demo dataset,Windows,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,Europe,Western Europe,Germany,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,telefonica.de,not available in demo dataset,not available in demo dataset,not available in demo dataset,1,1,1,1,1,,(not set),youtube.com,referral,,not available in demo dataset,/yt/about/de/,,,,,,,
41,Social,20161014,9946535724735712366,9946535724735712366_1476511463,Not Socially Engaged,1476511463,1,1476511463,Chrome,not available in demo dataset,not available in demo dataset,Windows,not available in demo dataset,False,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,desktop,Europe,Eastern Europe,Russia,not available in demo dataset,not available in demo dataset,not available in demo dataset,not available in demo dataset,unknown.unknown,not available in demo dataset,not available in demo dataset,not available in demo dataset,1,1,1,1,1,,(not set),youtube.com,referral,,not available in demo dataset,/yt/about/ru/,,,,,,,
